Airport_Code,Airport,,
BHM,Birmingham International Airport,,
DHM,Dothan Regional Airport,,
HSV,Huntsville International Airport,,
MOB,Mobile,,
MGM,Montgomery,,
ANC,Anchorage International Airport,,
FAI,Fairbanks International Airport,,
JNU,Juneau International Airport,,
FLG,Flagstaff,,
PHX,"Phoenix, Phoenix Sky Harbor International Airport",,
TUS,Tucson International Airport,,
YUM,Yuma International Airport,,
FYV,Fayetteville,,
LIT,Little Rock National Airport,,
BUR,Burbank,,
FAT,Fresno,,
LGB,Long Beach,,
LAX,Los Angeles International Airport,,
OAK,Oakland,,
ONT,Ontario,,
PSP,Palm Springs,,
SMF,Sacramento,,
SAN,San Diego,,
SFO,San Francisco International Airport,,
SJC,San Jose,,
SNA,Santa Ana,,
ASE,Aspen,,
COS,Colorado Springs,,
DEN,Denver International Airport,,
GJT,Grand Junction,,
PUB,Pueblo,,
BDL,Hartford,,
IAD,"Washington, Dulles International Airport",,
DCA,Washington National Airport,,
DAB,Daytona Beach,,
FLL,Fort Lauderdale-Hollywood International Airport,,
RSW,Fort Meyers,,
JAX,Jacksonville,,
MIA,Miami International Airport,,
MCO,Orlando,,
PNS,Pensacola,,
PIE,St. Petersburg,,
SRQ,Sarasota,,
TPA,Tampa,,
PBI,West Palm Beach,,
PFN,Panama City-Bay County International Airport,,
ATL,Atlanta Hartsfield International Airport,,
AGS,Augusta,,
SAV,Savannah,,
ITO,Hilo,,
HNL,Honolulu International Airport,,
OGG,Kahului,,
KOA,Kailua,,
LIH,Lihue,,
BOI,Boise,,
MDW,Chicago Midway Airport,,
ORD,"Chicago, O'Hare International Airport Airport",,
MLI,Moline,,
PIA,Peoria,,
EVV,Evansville,,
FWA,Fort Wayne,,
IND,Indianapolis International Airport,,
SBN,South Bend,,
CID,Cedar Rapids,,
DSM,Des Moines,,
ICT,Wichita,,
LEX,Lexington,,
SDF,Louisville,,
BTR,Baton Rouge,,
MSY,New Orleans International Airport,,
SHV,Shreveport,,
AUG,Augusta,,
BGR,Bangor,,
PWM,Portland,,
BWI,Baltimore,,
BOS,"Boston, Logan International Airport",,
HYA,Hyannis,,
ACK,Nantucket,,
ORH,Worchester,,
BTL,Battlecreek,,
DTW,Detroit Metropolitan Airport,,
DET,Detroit,,
FNT,Flint,,
GRR,Grand Rapids,,
AZO,Kalamazoo-Battle Creek International Airport,,
LAN,Lansing,,
MBS,Saginaw,,
DLH,Duluth,,
MSP,Minneapolis/St.Paul International Airport,,
RST,Rochester,,
GPT,Gulfport,,
JAN,Jackson,,
MCI,Kansas City,,
STL,"St Louis, Lambert International Airport",,
SGF,Springfield,,
BIL,Billings,,
LNK,Lincoln,,
OMA,Omaha,,
LAS,"Las Vegas, Las Vegas McCarran International Airport",,
RNO,Reno-Tahoe International Airport,,
MHT,Manchester,,
ACY,Atlantic City International Airport,,
EWR,Newark International Airport,,
TTN,Trenton,,
ABQ,Albuquerque International Airport,,
ALM,Alamogordo,,
ALB,Albany International Airport,,
BUF,Buffalo,,
ISP,Islip,,
JFK,"New York, John F Kennedy International Airport",,
LGA,"New York, La Guardia Airport",,
SWF,Newburgh,,
